09:59:01.910 default [http-nio-2225-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
09:59:01.926 default [http-nio-2225-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 16 ms
09:59:01.957 default [http-nio-2225-exec-1] INFO  c.e.a.controller.TestController - 
info

09:59:01.957 default [http-nio-2225-exec-1] INFO  c.e.a.controller.TestController - 
warn

09:59:01.957 default [http-nio-2225-exec-1] INFO  c.e.a.controller.TestController - 
error

